id,slug,title,description,full_description,tech_stack,features,github_url,live_url,image_url,category,created_at,is_featured,view_count
0021cc81-a4b1-4e79-9eb7-b3397cff1c3f,kisaanmithraa,KisaanMithraa,"A comprehensive agricultural cooperative platform developed under the Annam AI initiative in collaboration with IIT Ropar, implementing market price tracking and AI-powered farming assistance.",,"[""Flutter"",""GetX"",""Firebase"",""OpenAI""]","[""Real-time agricultural market price monitoring with watchlist functionality"",""AI-powered chatbot for farming advice with voice recognition"",""Cooperative management system with resource sharing capabilities"",""Offline-first architecture with comprehensive caching system""]",https://github.com/RishiAhuja/kisaanmithraa,,,mobile,2025-05-21 06:41:10.015369+00,false,45
3ffe33b1-6f3b-41db-b1b4-6ef045296956,openlearn,Open Learn,"OpenLearn is a production-ready, TypeScript-powered backend designed for scalable cohort-based educational platforms. It supports structured learning paths, hierarchical roles, gamification, and real-time progress tracking, deployed using modern DevOps and containerized infrastructure.","OpenLearn is a comprehensive backend system engineered for cohort-driven educational platforms. Built with TypeScript and Express, it enables institutions to manage structured curricula, track learner progress, assign roles, and foster engagement through badges, leaderboards, and analytics.

With advanced role-based access control (RBAC), OpenLearn supports a multi-tier hierarchy including students (Pioneers), educators (Pathfinders), and admins (Chief Pathfinders, Grand Pathfinders). Courses are delivered through specializations, leagues, and weekly sections—each with multi-format resources and assignments.

Gamification and social features are tightly integrated, offering badge systems, progress milestones, and social sharing. The platform includes deep analytics, audit logging, and health monitoring—ensuring visibility and reliability in real-time.

OpenLearn is built for performance and scalability with Dockerized deployment, PostgreSQL, Redis caching, background email workers, and a fully automated CI/CD pipeline. ","[""TypeScript"",""Node.js"",""Express.js"",""Prisma ORM"",""PostgreSQL"",""Redis"",""JWT"",""Docker"",""Nginx"",""AWS EC2"",""Helmet.js"",""SMTP"",""GitHub Actions"",""REST API""]","[""Robust TypeScript backend for cohort-based learning with hierarchical role management"",""Integrated progress tracking, gamification, analytics, and multi-format content delivery"",""Dockerized, production-ready API with PostgreSQL, Redis, JWT auth, and real-time health monitoring""]",https://github.com/openlearnnitj/openlearn-backend,https://openlearn.org.in,,web,2025-06-28 08:55:01.55226+00,true,12
59d21ed7-92f7-4bcf-adb9-8fcec490b11a,blood4life,Blood 4 Life,Three-way infrastructure facilitating NGO donor connections through a robust blood donation platform.,,"[""Flutter"",""Firebase"",""Dart""]","[""Automated donor-NGO matching"",""Geographical zone management"",""Complete admin dashboard""]",https://github.com/RishiAhuja/B4L/blob/master/README.md,,,mobile,2025-05-21 05:41:10.015369+00,false,10
77003f1b-2e0f-43e8-b4a3-f157fdd89eb5,soulbuddy,SoulBuddy.ai,AI-powered astrological platform providing personalized spiritual guidance through astrology and numerology.,,"[""Flutter"",""Dart"",""AWS"",""Cassandra"",""Hive"",""Datastax"",""Langflow""]","[""AI-powered spiritual chatbot & birth chart analysis"",""Personalized meditation & ritual recommendations"",""1st runner-up at Level SuperMind Hack built under 12 hours""]",https://github.com/RishiAhuja/SoulBuddy.ai/blob/main/README.md,,,mobile,2025-05-21 05:41:10.015369+00,false,22
994d031f-6fa8-404a-b7a2-a032cef458e7,fingenie,FinGenie,"A sophisticated financial management application combining expense tracking, group expense management, and AI-powered receipt scanning, clean architecture and BLoC pattern implementation with `SOCIAL SCORES`",,"[""Flutter"",""BLoC"",""Hive"",""ML Kit"",""Gemini AI"",""Go"",""Fiber"",""PostgreSQL"",""Python""]","[""Social Score analysis for individuals and telegram bot"",""Smart receipt scanning with ML Kit & Gemini AI analysis"",""Clean architecture with comprehensive BLoC pattern"",""Multi-currency support with automated conversions""]",https://github.com/RishiAhuja/fingenie,,,mobile,2025-05-21 05:41:10.015369+00,false,14
a5430926-ffba-4a28-96b6-60653ef54906,nexus,Nexus,"A modern social blogging platform built with Flutter Web that amplifies user content through a unique ""signal network"" and beacon concept, featuring clean architecture, responsive design, and seamless Firebase integration.",,"[""Flutter Web"",""BLoC"",""Firebase"",""Clean Architecture""]","[""Modern social blogging platform with signal amplification technology"",""Clean architecture implementation with Flutter web and Firebase"",""Seamless cross-platform experience with dark/light mode support""]",https://github.com/RishiAhuja/nexus,https://nexus.rishia.in,,web,2025-05-21 06:40:10.015369+00,false,24
a920c1ef-fb77-4fcd-ad33-60e09a4b54c2,sahlplus,SahlPlus,An IoT-integrated e-scooter sharing platform built with Flutter implementing clean architecture principles and advanced state management solutions.,,"[""Flutter"",""Riverpod"",""Go"",""Docker""]","[""Real-time location tracking with IoT device integration"",""Payment gateway integration with secure transactions"",""Optimized performance through lazy loading"",""Cross-platform experience with RESTful APIs""]",https://github.com/RishiAhuja/escoot,,,mobile,2025-05-21 05:41:10.015369+00,false,30
bd12ad88-2ae6-4da1-90f5-f56d984b65df,fern,FernKit,"FernKit is a modular ecosystem of low-level developer tools for C, C++, and Python—designed with minimalism, composability, and transparency at its core. Centered around a handcrafted UI toolkit (fern) for WASM and Linux, FernKit empowers developers to build visual applications, CLIs, and networking systems with full control and minimal overhead.","FernKit is a minimalist, handcrafted software ecosystem for system-oriented developers. It includes a suite of small, composable tools—each themed around nature and growth—to help you build visual, textual, and networked applications from the ground up.

At its heart is fern, a modern UI toolkit written in C++ for rendering pixel-by-pixel visuals on WebAssembly and Linux. With an immediate-mode rendering engine, a responsive widget/layout system (Row, Column, Padding, etc.), and a signal-slot event system, fern lets you construct intuitive interfaces with zero external dependencies. It supports font rendering, primitive shapes, and live input handling, all within a clean, memory-efficient architecture.","[""C++"",""WebAssembly"",""Bash"",""Emscripten""]","[""Modular C/C++ ecosystem with minimal dependencies, handcrafted for full system-level control"",""Modern UI toolkit ('fern') featuring responsive layout primitives, pixel-level rendering, and signal-slot event handling"",""Cross-platform support for Linux and WebAssembly, with tools for CLI, networking, and text rendering built around a cohesive natural metaphor""]",https://github.com/rishiahuja/fern,https://fern.rishia.in,,web,2025-05-21 06:41:10.015369+00,true,59
c13484c9-1738-4578-aeab-a8fb914bb2cf,ipqs,IPQS,Intelligent PDF querying system enabling smart document analysis with AI-powered QA capabilities.,,"[""Flutter"",""Firebase"",""Syncfusion"",""Gemini AI""]","[""AI-powered document analysis with reccomendation engine"",""Multi-citation support system"",""2nd runner-up at IEEE PEC Hack built under 18 hours""]",https://github.com/RishiAhuja/IPQS/blob/main/README.md,,,mobile,2025-05-21 05:41:10.015369+00,false,16
c30aa7b5-2083-43bb-89c0-86d69da603de,axon,Axon,"A high-performance command-line tool providing strong encryption and decryption capabilities using AES-128 with Cipher Block Chaining (CBC) mode. Designed for secure file protection with a focus on performance, security, and ease of use across multiple platforms.",,"[""C"",""AES-128"",""CMake"",""Make""]","[""Industry-standard AES-128 encryption with Cipher Block Chaining (CBC) mode"",""Efficient file chunking system to handle files of any size"",""Cross-platform support with optimized builds for Linux, macOS, and Windows"",""Secure password handling with strong validation and key derivation""]",https://github.com/RishiAhuja/axon,,,cli,2025-05-21 06:41:10.015369+00,false,34
